EXPERT,ボーナストラック,STARRED HEART -東雲 つむぎソロver.-,11.0
EXPERT,オンゲキ,ロッキンピンクモンスター （豚乙女ランコVo Ver.）,11.2
EXPERT,オンゲキ,ヒストリー×ブレイカー,11.0
EXPERT,niconico,オートファジー,11.1
EXPERT,VARIETY,Löschen,11.6
EXPERT,チュウマイ,L’épilogue,11.0
EXPERT,オンゲキ,夢を叶える場所,11.1
EXPERT,オンゲキ,Memories of O.N.G.E.K.I.（楽曲）,11.0
EXPERT,チュウマイ,ここからはじまるプロローグ。,11.5
EXPERT,チュウマイ,とびだせ！TO THE COSMIC！！,11.0
EXPERT,チュウマイ,Paradisoda,11.3
EXPERT,VARIETY,YO-KAI Disco,11.6
EXPERT,チュウマイ,MUSIC PЯAYER,11.4
EXPERT,オンゲキ,Butterfly Wave,10.7
EXPERT,オンゲキ,UTOPIA CRASH,10.7
EXPERT,niconico,ミラクルペイント,10.7
EXPERT,niconico,ポジティブ☆ダンスタイム,10.7
EXPERT,東方Project,Singing to the gods,10.7
EXPERT,オンゲキ,Resolution,10.7
EXPERT,オンゲキ,HEADLINER,10.7
EXPERT,チュウマイ,夢花火,10.7
EXPERT,POPS＆ANIME,サンダーライン,10.0
EXPERT,東方Project,回転 feat.あやぽんず＊,10.0
EXPERT,オンゲキ,Girl’s Party Planet！,10.0
EXPERT,オンゲキ,FANTASY BABY,10.4
EXPERT,niconico,So much loving you★ -DIVA Edit-,10.4
EXPERT,niconico,サイハテ,10.0
EXPERT,チュウマイ,マイオドレ！舞舞タイム,10.0
EXPERT,チュウマイ,ロング・スロー・アライブ,10.0
EXPERT,チュウマイ,REAL VOICE,10.0
EXPERT,オンゲキ,Geki Geki！！ 激闘Break Out！！,10.0
EXPERT,東方Project,キュアリアス光吉古牌　－祭－,10.4
EXPERT,東方Project,New World,10.0
EXPERT,東方Project,Over the Border,10.0
EXPERT,niconico,ストリーミングハート,10.4
EXPERT,niconico,敗北の少年,10.0
EXPERT,VARIETY,Alice’s Suitcase,10.4
EXPERT,チュウマイ,Magic,10.0
EXPERT,チュウマイ,コスモポップファンクラブ,10.4
EXPERT,チュウマイ,はちみつアドベンチャー,10.4
MASTER,オンゲキ,Opfer,15.0
MASTER,オンゲキ,ω4,15.0
MASTER,オンゲキ,脳天直撃,15.1
MASTER,オンゲキ,Apollo,15.4
MASTER,オンゲキ,LAMIA,15.4
MASTER,オンゲキ,Magical Panic Adventure,15.1
MASTER,オンゲキ,YURUSHITE,14.8
MASTER,オンゲキ,Titania,14.9
MASTER,オンゲキ,Viyella's Tears,14.8
MASTER,オンゲキ,A Man In The Mirror,14.8
MASTER,オンゲキ,Good bye Merry-Go-Round.,14.9
MASTER,チュウマイ,otorii INNOVATED -[i]3-,14.7
MASTER,オンゲキ,AstrøNotes.,14.7
MASTER,VARIETY,End Time,14.7
MASTER,オンゲキ,Singularity - technoplanet,14.8
MASTER,オンゲキ,FLUFFY FLASH,14.7
MASTER,オンゲキ,Falsum Atlantis.,14.9
MASTER,オンゲキ,Don't Fight The Music,14.9
MASTER,オンゲキ,Viyella’s Scream,14.9
MASTER,チュウマイ,larva,14.7
MASTER,チュウマイ,QZKago Requiem,14.8
MASTER,オンゲキ,Adverse Gaff,14.7
MASTER,オンゲキ,Cult future,14.9
MASTER,VARIETY,Love ＆ Justice,14.7
MASTER,チュウマイ,Xevel,14.7
MASTER,チュウマイ,TiamaT：F minor,14.8
MASTER,オンゲキ,エータ・ベータ・イータ,14.7
MASTER,VARIETY,Re：End of a Dream,14.8
LUNATIC,LUNATIC,macrocosmos,14.9
MASTER,オンゲキ,SUPER AMBULANCE,14.7
MASTER,チュウマイ,Last Celebration,14.7
MASTER,VARIETY,MANIERA REMASTERED,14.9
MASTER,VARIETY,Shamshir -rough Pt.2-,14.8
MASTER,オンゲキ,Diamond Dust,14.9
MASTER,VARIETY,Crimson Phoenix,14.7
MASTER,VARIETY,神威,14.3
MASTER,オンゲキ,Everlasting Today,14.0
